Attacker Hash,First Attacks,Second Attacks,Both Attacks,Attacks,Exchange Attacks,Bot Attacks,Profit,Exchange Count,Neighbors,Bot Cluster ID
0xC88459dbfe7546057e78b9B8C206D178c2D77338,0,1,0,1,0,1,-6.052468554693329,1,1,1
0x95Ec12eE69B4Ea95f3ff99152B5b84bB95dcbCB0,1,1,1,1,0,1,6.525697207605301,1,1,13
0x3171d1a98ceDEa75871c067355F2Ef39D260FFD6,1,1,1,1,0,1,4.634446683734414,1,1,9
0xf7fbB46CEFd10EEd36AaBE6f49B3224f1Ed5Ecd6,43,43,43,43,0,43,258.2278446308965,1,1,14
0xC02aC027fba4EE18EB5AbD438B02238B9A6987f4,50,50,50,50,0,50,674.5721272735232,1,1,14
0x577e8A06119Ec538db1D2188F5eA743b6A8A2ad6,25,25,25,25,0,25,3312.151078875844,1,1,14
0x2f6ee8Fb8B0F17b86f4eE8435a844349dAE23777,72,72,72,72,0,72,338.0796785760421,1,1,15
0xA2FdF1c74CFe76dFe2237D7F133F441dea775C24,66,66,66,66,0,66,354.2786420681755,1,1,14
0xaaa2e80AB7D7b3C216af30Fc8165E7823e74cc62,5834,5834,5834,5834,1560,4274,153709.95075018826,2,1,10
0x626201Fde44195FC558Cf34AC99FC56Be9387116,87,12,12,87,0,87,1739.7919257576727,1,3,16
0x5cc67c8e4a2bBa2227F63Ef40D9021C0B49d4dB7,0,49,0,49,0,49,775.0825444356727,1,1,16
0x6B0B1bF809241b32bBcA8466b092990414BF3DD8,314,314,314,314,0,314,1461.584313183716,1,1,17
0x7CaD586685C18FdDd62394Ea6BAdC54eb632e790,133,17,17,133,0,133,1986.444770533348,1,3,16
0xD9E7F8cA3512778245DC96Ef29dF25A6A85E2632,0,82,0,82,0,82,1216.015119211906,1,1,16
0x2e9a9FBd26D0c06ceeD99a09dD54CDA9843E5806,22,22,22,22,0,22,141.88496082953998,1,1,13
0x513A916e91Af25745A01b2709D2083B6b3477815,1,1,1,1,0,1,1.250462918012525,1,1,1
0x5221Abc99a7796d42D42f035217057338A579771,60,60,60,60,0,60,2033.8397361850316,1,1,17
0x5f57397c212CA666444b4a1DC132F2434d586465,3,3,3,3,0,3,15.86006382847544,1,1,13
0xdaE2b0E001A7Bd1A3baC1835Da261AA7B81F07b2,37,37,37,37,0,37,178.22333925117584,1,1,13
0xC87982CFCdd23F3b7bA802B652D3DB73FDa3eE35,148,26,26,148,0,148,2412.034694246839,1,3,16
0xccD85CDC000eB66522Bd881543c3D562a5927919,0,81,0,81,0,81,1187.3056511229174,1,1,16
0x5a9Bb2A1F42C6B740eFE5940E5E3Db101338fc7D,2,2,2,2,0,2,43.26953822436876,1,1,7
0xE514DF7eC36FEb3e9166Ae843b43105105167a96,3,3,3,3,0,3,4.852370544029977,1,1,13
0x6D47b4b323cE7DD19F31913d1E46807b0d33e7D1,0,1,0,1,0,1,0.7483621266569921,1,1,1
0x07CE0C0C779D27e0b0d1C47c4DDa7283eBF8683C,28,28,28,28,28,0,1833.8673834012695,1,1,
0x41a21b264F9ebF6cF571D4543a5b3AB1c6bEd98C,0,60,0,60,0,60,1325.254984259734,1,2,16
0x580B37eE47f95639B3a3E2253d5974450b75f61A,1,1,1,1,0,1,5.582736223599525,1,1,9
0xdD7B4EB004C74A43B7fbC65610a83fC074667Ce4,106,21,21,106,0,106,1775.5713256525235,1,3,16
0x1cF7BD45300699f506deC8A92ED0A13A6877F750,0,54,0,54,0,54,906.4472848090873,1,1,16
0x60D7BA2661bd6a810d5CBB06fe5841138F7d11Dc,4,4,4,4,0,4,49.797819797120866,1,1,13
0x80cb57F70Be2345025fB8Dfe9a3E78d626C3B02D,2,2,2,2,0,2,68.20374393373098,1,1,13
0x9a7a6F95D413e5e4A99AcFb62be5444dC90f0555,0,1,0,1,0,1,-0.912616145404768,1,1,1
0x1eF810335e1C0AF818487c2019A29ED2a3309810,6090,0,0,6090,0,6090,85072.33383867098,1,1,18
0x0Ea09d7d36d781E2A280a50d50A67A4D5e67c6C1,0,6090,0,6090,0,6090,85072.33383867098,1,1,18
0x7D9D97df68B69b56873A23dB7D0b687D514261e0,218,101,101,218,0,218,1189.0158204068352,1,2,19
0x7eb698ABBA2996f1af44098E0dd82396AcfEe987,0,941,0,941,0,941,27145.86552025275,2,7,19
0xC3518561F4370c8b826bC6864616991b83327074,1057,504,504,1057,0,1057,17566.594918139705,2,2,19
0xF45AED9CC3eb34F057736164b109cecE9215223D,0,745,0,745,0,745,18009.2465334502,2,5,19
0x4ed50D27bae39043754AF35572958BeCe22f2C2A,242,116,116,242,0,242,4056.6960345754565,2,2,19
0x84F6670b12a018a167BBEEeF16a314cD0E2CC338,91,40,40,91,0,91,2607.3257861126745,1,2,19
0x5D04C4e6D9F3f369355628fc55b15B303C38Bc14,2648,2650,2648,2650,0,2650,117812.80911800978,2,3,1
0x52F2cC12b89A3Fb4d4f2230487297fd402e6A711,0,72,0,72,0,72,1153.6150959386666,1,2,16
0x24AE78512A05b2741C789c2eff0c4819dFbE92dB,14,14,14,14,0,14,486.43049728355425,1,1,14
0x09CD4cAf6132F6B6CeDE4C7b40123e278B9115BE,1,1,1,1,0,1,45.50324385753814,1,1,13
0x51918946aF9F350fC0F4121139151B550B41d7ba,1,1,1,1,0,1,2.7767562415577642,1,1,11
0x0adca4D72Ca82E1eC3E171F748b75400B816FEce,6,6,6,6,0,6,1250.6476062146753,1,1,15
0xdDFF04d902feFE2C7C7E56C1FbD841365B692756,482,220,220,482,0,482,13143.361535272457,2,2,19
0xcf062b8D294DDa0937E81C0e3b6a8a1922F441d0,21,21,21,21,0,21,340.38182097848306,1,1,7
0xC1D3057E2017ded84A8f3fC8aA28Ed08BEAE9FA7,4,4,4,4,0,4,4.3527843376585835,1,1,13
0xDd90b81236BCCf2fa64CE5fDd28B10ed51C59E94,5,5,5,5,0,5,26.78302243084957,1,1,13
0x86069731eC329bCE153dE7C9AB7a4d432CFeea3e,6,6,6,6,0,6,89.23931008461213,1,1,9
0xc3e68c47A6E581a51184f51AE22805128f04939e,135,50,50,135,0,135,8404.671910002937,1,2,19
0x9BFd060a64DeE67bF75056f7d8E15FF2eC127456,79,36,36,79,0,79,3242.337834154538,1,2,19
0x7c1bb6aB35D151f168a992b751f7D84392209F40,19,19,19,19,0,19,143.61190458560338,1,1,11
0x7297E1b540457F7f16142734E071DB7b6BbA12F6,2,2,2,2,0,2,10.941251529697968,1,1,13
0x4B49a6f4ce6FA6EC7E1Ca8687c9641e0ff52548A,13,11,8,16,0,16,254.26877115349023,1,6,1
0x6255AcE9543d373A6bd49d5cE888591260Cc553b,2579,2581,2579,2581,0,2581,128917.53491342963,1,3,1
0xB63C4E229da46a54b053dA51a9f8046b4f212DA0,1830,1828,1826,1832,0,1832,92936.89912132466,1,2,1
0x917E1c9F04e6903E25Ff8d13e14B6F9C7Dc1419a,499,221,221,499,0,499,19125.00643843208,1,2,19
0x3829F1E9C2Da88beEbBd4273A574F1c5704F5c4a,2554,2555,2553,2556,0,2556,112857.07877237996,1,4,1
0xDad63d199F2ac01dD14A88a15487f9486056d1B9,1,1,1,1,0,1,0.32865281556984705,1,1,9
0xe959B6adC52b65D30AA58B50a3A2d7924658dD3D,6,6,6,6,0,6,28.14641165615222,1,1,9
0x0454F39F6d994595a7C05ddbA439BF53c5a0f2E4,2,2,2,2,0,2,281.8718948218804,1,1,13
0x470F932c3DD58b1a22197428838687e5809B5e41,2581,2581,2581,2581,0,2581,127802.26054500835,1,1,1
0x006876727aAAD2A83dAC0d7A727cab216BF134B1,30,30,30,30,0,30,119.80399598859884,1,1,14
0xc6Dd29B5564Bf79A5c1213632992601E1C243a97,132,132,132,132,0,132,650.5812014310067,1,1,20
0x5C2Bc88f19674FBF71BCeDe54f88E6b05ede40D7,3358,0,0,3358,0,3358,70173.49672673593,1,2,21
0x69A895686ab085D703071D6c6ffb49a40FF3efB4,0,3356,0,3356,0,3356,70129.62513244868,1,1,21
0x51db325B736aABEE2B614957AB93b9BB5261F954,6476,2018,2018,6476,0,6476,1802787.1983615889,2,3,19
0xfB470ECe9916d0DD2f0d720c09967E54Cb7172d1,8,8,8,8,0,8,121.54905792600073,1,1,13
0xe9a8D4BACE4fB8c7802e4e69f04C38e83FC9F50b,1,1,1,1,0,1,-8.609116383173015,1,1,11
0x401bF19cd1BA05650F0440c3d0c24FA3583854DD,160,77,77,160,0,160,1587.8079576291395,1,2,19
0xb55DBB4dA8eE8Ee4D101B476DF1160065b81e12A,1481,3818,0,5299,0,5299,183524.35648851396,1,2,20
0x0242333254a79D0f0c8dfc1Cb06d9EBAD2746e83,3818,1477,0,5295,0,5295,183466.65402531077,1,1,20
0x0F8F3fbAA732bBf83C23616FED9AEF29Fa0Bb29b,2553,2552,2551,2554,0,2554,129832.84322193461,1,4,1
0x258726BDA77a0e0239b8E13B92f1d543659AD013,2520,2518,2518,2520,0,2520,130986.97048854805,1,3,1
0xED7cFbB8CACA87cE8EA6b4BF33288379C70b5210,2577,2579,2575,2581,0,2581,121870.86186706486,1,7,1
0xB97c70D38d421798fd48Eea35Bd66263aA1D8851,7,7,7,7,0,7,34.95889381193872,1,1,11
0xE2C9D57B79a2CA452398ab5C4589135C348D92E9,0,4388,0,4388,0,4388,1372927.477118561,2,1,19
0xDaF479eBB71776C9de6f677F296a4B341a8bb70F,28,28,28,28,0,28,305.7701837833428,1,1,13
0x6E74398d37B0Ff196Aea44D83983446Ef461E31d,841,244,244,841,0,841,371662.3387926982,2,3,19
0x0bF6230dd13605de3B935334Cdcf1e0f52E96049,0,584,0,584,0,584,288052.56021421205,2,1,19
0xB0C34bBe4Fc29A3a3Cc5B2268a5C0B7D1128F79a,7,7,7,7,0,7,307.4927205345414,1,1,13
0x5Fb2d0f9fE4D4a710616B1843d48d883A1563DcB,43,43,43,43,0,43,212.43817208296446,1,1,15
0x2f8A74A5160F3b9A23B8cabd402eA7d05f94c8ae,4,4,4,4,0,4,18.0895072245099,1,1,11
0x038eFCEb879E7C5F95048fb35f3ba73AF2d3c7fD,7,7,7,7,0,7,153.1613259993435,1,1,15
0x3fe2b35AC0fe784a56b5A9E2eA147Af90E200B99,208,209,206,211,0,211,1851.9072247617692,1,5,22
0xc70eE9eB352FD77CF6322F438171aAB8929372fC,232,232,232,232,0,232,1957.0749822853022,1,1,22
0x214d85d33E62162fEE9b8A6adbd352afEE29ad60,16,16,16,16,0,16,188.4168918895814,1,1,13
0xc7C6D694B4b4c57700D7f5B98De9bA69DA616c58,194,194,193,195,0,195,1666.2659469998173,1,3,22
0xA4354aaAFe8f8Ec0D0Ab589C2a737B3539d9628b,1,1,1,1,0,1,-0.3678111327626562,1,1,13
0x53Daa4588610f7025447536635203a0F733214c7,13,13,13,13,0,13,3029.3085033726707,1,1,13
0x90a3D8C8a9247e409F455C4F7DC4092596C223A2,1,0,0,1,0,1,1.0893493008614081,1,1,1
0x75d94aEb9aEfE5147e941AdDb73013F32DEC4082,0,1,0,1,0,1,1.0893493008614081,1,1,1
0x80C2078e216F65381E947830Cba3A884325CE8Bc,227,229,225,231,0,231,2084.66380868601,1,5,22
0x86686711Cee8800d504c775258C9775d2887509f,256,255,255,256,0,256,1287.0009334596311,1,2,22
0x95c8A943a93A9c02779C2a3682acd00f3dEC9A64,348,348,348,348,0,348,2672.9515760824092,1,1,22
0xA97EE3139BAC2f7494D85F468F67F87179f2e4d3,202,204,202,204,0,204,1989.6519515000557,1,3,22
0x01E76Ea32bF9D50fb1c3Ebc40AceD2BcCb340c17,5,5,5,5,0,5,351.2774664141869,1,1,14
0xD38A263F41db0096bE65822df2a2368Cc636dD20,38,38,38,38,0,38,176.90877968857097,1,1,7
